session_idx,rat,day,epoch,bin_size,embedding_filename_2d,embedding_filename_3d
40,913,7,m1,1,bin_size-1_embeddings_2d_rat913_day7_epochm1.npy,bin_size-1_embeddings_3d_rat913_day7_epochm1.npy
41,913,9,m1,1,bin_size-1_embeddings_2d_rat913_day9_epochm1.npy,bin_size-1_embeddings_3d_rat913_day9_epochm1.npy
42,913,10,m1,1,bin_size-1_embeddings_2d_rat913_day10_epochm1.npy,bin_size-1_embeddings_3d_rat913_day10_epochm1.npy
43,913,11,m1,1,bin_size-1_embeddings_2d_rat913_day11_epochm1.npy,bin_size-1_embeddings_3d_rat913_day11_epochm1.npy
44,913,12,m1,1,bin_size-1_embeddings_2d_rat913_day12_epochm1.npy,bin_size-1_embeddings_3d_rat913_day12_epochm1.npy
45,913,13,m1,1,bin_size-1_embeddings_2d_rat913_day13_epochm1.npy,bin_size-1_embeddings_3d_rat913_day13_epochm1.npy
46,913,14,m1,1,bin_size-1_embeddings_2d_rat913_day14_epochm1.npy,bin_size-1_embeddings_3d_rat913_day14_epochm1.npy
47,913,15,m1,1,bin_size-1_embeddings_2d_rat913_day15_epochm1.npy,bin_size-1_embeddings_3d_rat913_day15_epochm1.npy
48,913,16,m1,1,bin_size-1_embeddings_2d_rat913_day16_epochm1.npy,bin_size-1_embeddings_3d_rat913_day16_epochm1.npy
49,913,17,m1,1,bin_size-1_embeddings_2d_rat913_day17_epochm1.npy,bin_size-1_embeddings_3d_rat913_day17_epochm1.npy
50,913,18,m1,1,bin_size-1_embeddings_2d_rat913_day18_epochm1.npy,bin_size-1_embeddings_3d_rat913_day18_epochm1.npy
